node_index,node_name,fallback_classification,confidence,input_names,output_names,parent_ops,child_ops,evidence
5108,/model/layers.16/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.16/self_attn/Mul_8_output_0; /model/layers.16/self_attn/Mul_9_output_0,/model/layers.16/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
5117,/model/layers.16/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.16/self_attn/Where_3_output_0; /model/layers.16/self_attn/Reshape_6_output_0,/model/layers.16/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
5126,/model/layers.16/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.16/self_attn/Reshape_7_output_0; onnx::MatMul_10373,/model/layers.16/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
5196,/model/layers.17/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.17/input_layernorm/Mul_1_output_0; onnx::MatMul_10385,/model/layers.17/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
5220,/model/layers.17/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.17/input_layernorm/Mul_1_output_0; onnx::MatMul_10392,/model/layers.17/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
5223,/model/layers.17/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.17/input_layernorm/Mul_1_output_0; onnx::MatMul_10393,/model/layers.17/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
5402,/model/layers.17/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.17/self_attn/Mul_8_output_0; /model/layers.17/self_attn/Mul_9_output_0,/model/layers.17/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
5411,/model/layers.17/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.17/self_attn/Where_3_output_0; /model/layers.17/self_attn/Reshape_6_output_0,/model/layers.17/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
5420,/model/layers.17/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.17/self_attn/Reshape_7_output_0; onnx::MatMul_10420,/model/layers.17/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
5490,/model/layers.18/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.18/input_layernorm/Mul_1_output_0; onnx::MatMul_10432,/model/layers.18/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
