phase,context_length,decode_steps,op_type,provider,profile_count,call_count,total_us,mean_us
prefill,128,0,Sub,CPUExecutionProvider,3,3,23.0,7.666666666666667
prefill,128,0,Flatten,CPUExecutionProvider,3,3,13.0,4.333333333333333
decode,128,1,MatMul,CPUExecutionProvider,3,633,369726.0,584.085308056872
decode,128,1,SimplifiedLayerNormalization,CPUExecutionProvider,3,471,19187.0,40.73673036093418
decode,128,1,Gather,CPUExecutionProvider,3,1038,12254.0,11.80539499036609
decode,128,1,Add,CPUExecutionProvider,3,555,6111.0,11.010810810810812
decode,128,1,Concat,CPUExecutionProvider,3,795,6092.0,7.662893081761006
decode,128,1,Unsqueeze,CPUExecutionProvider,3,1377,6084.0,4.4183006535947715
decode,128,1,Mul,CPUExecutionProvider,3,1020,6027.0,5.908823529411765
decode,128,1,Slice,CPUExecutionProvider,3,390,5837.0,14.966666666666667
decode,128,1,Reshape,CPUExecutionProvider,3,636,3058.0,4.8081761006289305
decode,128,1,Expand,CPUExecutionProvider,3,168,2992.0,17.80952380952381
decode,128,1,Where,CPUExecutionProvider,3,318,2313.0,7.273584905660377
decode,128,1,Shape,CPUExecutionProvider,3,486,2145.0,4.41358024691358
decode,128,1,FusedMatMul,CPUExecutionProvider,3,78,1924.0,24.666666666666668
decode,128,1,Transpose,CPUExecutionProvider,3,318,1672.0,5.2578616352201255
decode,128,1,Equal,CPUExecutionProvider,3,162,878.0,5.419753086419753
decode,128,1,Div,CPUExecutionProvider,3,156,867.0,5.5576923076923075
decode,128,1,Neg,CPUExecutionProvider,3,156,811.0,5.198717948717949
decode,128,1,Softmax,CPUExecutionProvider,3,78,571.0,7.32051282051282
decode,128,1,Tanh,CPUExecutionProvider,3,78,516.0,6.615384615384615
decode,128,1,IsNaN,CPUExecutionProvider,3,78,405.0,5.1923076923076925
decode,128,1,And,CPUExecutionProvider,3,18,101.0,5.611111111111111
decode,128,1,Range,CPUExecutionProvider,3,9,44.0,4.888888888888889
decode,128,1,Cast,CPUExecutionProvider,3,6,35.0,5.833333333333333
decode,128,1,Sin,CPUExecutionProvider,3,6,34.0,5.666666666666667
decode,128,1,Cos,CPUExecutionProvider,3,6,29.0,4.833333333333333
decode,128,1,Greater,CPUExecutionProvider,3,3,18.0,6.0
decode,128,1,Sub,CPUExecutionProvider,3,3,16.0,5.333333333333333
decode,128,1,Flatten,CPUExecutionProvider,3,3,15.0,5.0
decode,128,1,LessOrEqual,CPUExecutionProvider,3,3,15.0,5.0
decode,128,2,MatMul,CPUExecutionProvider,3,1266,727217.0,574.4210110584518
decode,128,2,Unsqueeze,CPUExecutionProvider,3,2754,12196.0,4.428467683369644
decode,128,2,Mul,CPUExecutionProvider,3,2040,11980.0,5.872549019607843
decode,128,2,Concat,CPUExecutionProvider,3,1590,11570.0,7.276729559748428
decode,128,2,Gather,CPUExecutionProvider,3,2076,10029.0,4.83092485549133
decode,128,2,SimplifiedLayerNormalization,CPUExecutionProvider,3,942,9246.0,9.815286624203821
decode,128,2,Slice,CPUExecutionProvider,3,780,8653.0,11.093589743589744
decode,128,2,Add,CPUExecutionProvider,3,1110,6163.0,5.552252252252252
decode,128,2,Reshape,CPUExecutionProvider,3,1272,6154.0,4.838050314465409
decode,128,2,Expand,CPUExecutionProvider,3,336,6003.0,17.866071428571427
decode,128,2,Where,CPUExecutionProvider,3,636,4642.0,7.29874213836478
decode,128,2,Shape,CPUExecutionProvider,3,972,4332.0,4.45679012345679
decode,128,2,Transpose,CPUExecutionProvider,3,636,4328.0,6.80503144654088
decode,128,2,FusedMatMul,CPUExecutionProvider,3,156,3816.0,24.46153846153846
decode,128,2,Div,CPUExecutionProvider,3,312,1810.0,5.801282051282051
decode,128,2,Equal,CPUExecutionProvider,3,324,1767.0,5.453703703703703
decode,128,2,Neg,CPUExecutionProvider,3,312,1611.0,5.163461538461538
